incident_title,affected_users,cpu_usage,error_rate,severity
Search response degraded,7574,66,8,Medium
Routine maintenance notice,0,25,0,Informational
Memory usage elevated,681,69,3,Low
Routine maintenance notice,0,30,0,Informational
Production database down,96190,88,60,Critical
CPU threshold warning,257,42,8,Low
SSL expires in 10 days,0,22,0,Informational
Login API timeout,18056,79,26,High
Intermittent connection issues,6415,68,8,Medium
Capacity report generated,0,36,0,Informational
Elevated latency observed,4449,72,26,Medium
Elevated latency observed,9877,59,6,Medium
Login API timeout,16998,94,25,High
Search response degraded,5439,83,11,Medium
Regional service degradation,10245,87,23,High
Login API timeout,4647,91,58,High
Message queue backlog,3034,81,58,High
CPU threshold warning,534,47,8,Low
Monitoring alert review,0,38,0,Informational
CPU threshold warning,1169,63,9,Low
Cache miss increase,8181,63,7,Medium
Disk usage warning,1979,73,0,Low
Message queue backlog,24193,89,49,High
Memory usage elevated,1964,56,0,Low
Backup delay detected,1282,46,2,Low
Login API timeout,20555,85,46,High
CPU threshold warning,923,41,6,Low
Intermittent connection issues,2740,77,19,Medium
Backup delay detected,1624,45,4,Low
Disk usage warning,1835,47,4,Low
Elevated latency observed,9147,64,12,Medium
Backup delay detected,1154,71,4,Low
Capacity report generated,0,12,0,Informational
Payment gateway unavailable,28643,95,88,Critical
Elevated latency observed,6997,61,10,Medium
Intermittent connection issues,5467,57,11,Medium
Intermittent connection issues,2986,56,7,Medium
Cache miss increase,5854,64,7,Medium
Intermittent connection issues,4895,57,28,Medium
Disk usage warning,1884,46,5,Low
Disk usage warning,192,46,5,Low
Search response degraded,7420,65,26,Medium
CPU threshold warning,176,60,6,Low
Memory usage elevated,59,68,1,Low
Backup delay detected,629,54,0,Low
SSL expires in 10 days,0,47,0,Informational
Elevated latency observed,9932,71,26,Medium
Intermittent connection issues,7598,70,28,Medium
CPU threshold warning,674,49,1,Low
Intermittent connection issues,2273,75,5,Medium
Search response degraded,3627,56,7,Medium
Monitoring alert review,0,10,0,Informational
CPU threshold warning,1138,45,9,Low
Message queue backlog,9358,93,45,High
Cache miss increase,8212,79,9,Medium
Cache miss increase,547,56,23,Medium
Elevated latency observed,2742,77,20,Medium
Login API timeout,4532,80,29,High
Routine maintenance notice,0,31,0,Informational
Search response degraded,5168,56,29,Medium
Production database down,24509,98,87,Critical
Intermittent connection issues,9953,79,22,Medium
Memory usage elevated,1159,43,0,Low
Monitoring alert review,0,28,0,Informational
Core API crash,28890,90,59,Critical
Regional service degradation,3749,79,31,High
Routine maintenance notice,0,31,0,Informational
Elevated latency observed,1337,79,23,Medium
Backup delay detected,4,61,9,Low
Regional service degradation,10084,77,32,High
Routine maintenance notice,0,42,0,Informational
CPU threshold warning,988,66,3,Low
Elevated latency observed,3593,57,26,Medium
Backup delay detected,813,56,9,Low
Message queue backlog,5070,91,34,High
Capacity report generated,0,6,0,Informational
Core API crash,40730,99,94,Critical
Cache miss increase,6941,70,26,Medium
CPU threshold warning,179,49,1,Low
Message queue backlog,24491,82,52,High
Message queue backlog,13235,78,25,High
Elevated latency observed,3960,57,29,Medium
Cache miss increase,975,72,18,Medium
SSL expires in 10 days,0,21,0,Informational
CPU threshold warning,833,45,5,Low
Intermittent connection issues,8804,80,19,Medium
Search response degraded,7786,78,6,Medium
Regional service degradation,10733,90,42,High
Routine maintenance notice,0,29,0,Informational
Cache miss increase,1120,82,29,Medium
Login API timeout,6500,79,53,High
Routine maintenance notice,0,18,0,Informational
Search response degraded,7942,57,5,Medium
Capacity report generated,0,19,0,Informational
Intermittent connection issues,980,74,6,Medium
Payment gateway unavailable,38901,93,90,Critical
Cache miss increase,3594,79,16,Medium
High error rate detected,19848,78,40,High
Search response degraded,7018,74,14,Medium
Disk usage warning,1196,60,2,Low
High error rate detected,9910,89,56,High
Capacity report generated,0,48,0,Informational
Backup delay detected,1828,50,3,Low
Memory usage elevated,783,43,8,Low
Routine maintenance notice,0,38,0,Informational
CPU threshold warning,1761,61,0,Low
Cache miss increase,7458,74,20,Medium
Elevated latency observed,4165,70,10,Medium
Routine maintenance notice,0,38,0,Informational
Disk usage warning,170,63,1,Low
Cache miss increase,1694,66,8,Medium
Production database down,36465,92,40,Critical
CPU threshold warning,1198,69,5,Low
Capacity report generated,0,26,0,Informational
Monitoring alert review,0,13,0,Informational
Message queue backlog,11870,76,59,High
Monitoring alert review,0,25,0,Informational
Routine maintenance notice,0,15,0,Informational
Backup delay detected,323,54,5,Low
Regional service degradation,18815,95,37,High
Cache miss increase,2031,76,17,Medium
Cache miss increase,1867,70,17,Medium
Message queue backlog,14537,94,32,High
Elevated latency observed,5096,62,8,Medium
Regional service degradation,18032,95,53,High
Core API crash,18178,95,83,Critical
Elevated latency observed,2940,60,10,Medium
Routine maintenance notice,0,27,0,Informational
Message queue backlog,13962,85,30,High
Regional service degradation,29421,75,37,High
Memory usage elevated,1797,45,2,Low
High error rate detected,10026,81,48,High
Intermittent connection issues,5146,80,5,Medium
Payment gateway unavailable,46637,88,48,Critical
CPU threshold warning,1902,38,9,Low
Intermittent connection issues,3225,83,17,Medium
Authentication service outage,94954,95,76,Critical
High error rate detected,23499,88,29,High
Backup delay detected,803,68,8,Low
Monitoring alert review,0,19,0,Informational
Elevated latency observed,2760,75,25,Medium
Cache miss increase,9846,68,27,Medium
High error rate detected,6226,75,44,High
Search response degraded,2910,62,18,Medium
Cache miss increase,5607,75,12,Medium
Regional service degradation,7958,88,48,High
Cache miss increase,4958,76,29,Medium
Capacity report generated,0,7,0,Informational
Memory usage elevated,495,46,7,Low
High error rate detected,6925,81,57,High
Elevated latency observed,3821,81,27,Medium
Login API timeout,4725,85,35,High
Backup delay detected,1324,59,4,Low
Elevated latency observed,5529,66,14,Medium
Core API crash,24203,90,79,Critical
Memory usage elevated,791,49,3,Low
Disk usage warning,43,39,5,Low
Search response degraded,4698,76,5,Medium
Monitoring alert review,0,12,0,Informational
Production database down,44725,95,82,Critical
Backup delay detected,1023,58,5,Low
Intermittent connection issues,740,66,11,Medium
Search response degraded,5767,68,21,Medium
Capacity report generated,0,27,0,Informational
CPU threshold warning,1921,62,2,Low
Intermittent connection issues,7349,74,19,Medium
SSL expires in 10 days,0,30,0,Informational
Capacity report generated,0,11,0,Informational
Backup delay detected,426,41,0,Low
Core API crash,62264,89,55,Critical
High error rate detected,19985,84,39,High
Search response degraded,5589,60,26,Medium
CPU threshold warning,990,70,8,Low
Routine maintenance notice,0,21,0,Informational
High error rate detected,6106,86,45,High
Capacity report generated,0,6,0,Informational
Elevated latency observed,2345,70,18,Medium
Routine maintenance notice,0,40,0,Informational
Capacity report generated,0,26,0,Informational
Memory usage elevated,1797,58,6,Low
SSL expires in 10 days,0,16,0,Informational
Message queue backlog,7026,82,54,High
Core API crash,82893,96,65,Critical
CPU threshold warning,1491,42,4,Low
High error rate detected,19658,87,58,High
Core API crash,30426,93,88,Critical
Production database down,10911,91,88,Critical
Disk usage warning,507,57,9,Low
Backup delay detected,238,73,4,Low
Routine maintenance notice,0,35,0,Informational
Disk usage warning,833,53,2,Low
Backup delay detected,307,51,8,Low
Message queue backlog,6255,84,22,High
CPU threshold warning,935,71,3,Low
Intermittent connection issues,6079,79,27,Medium
Search response degraded,2277,78,26,Medium
Search response degraded,6005,76,8,Medium
Monitoring alert review,0,47,0,Informational
Elevated latency observed,691,83,5,Medium
Intermittent connection issues,5172,61,15,Medium
Search response degraded,2945,75,10,Medium
Capacity report generated,0,17,0,Informational
Capacity report generated,0,30,0,Informational
Payment gateway unavailable,63551,92,94,Critical
Capacity report generated,0,18,0,Informational
Authentication service outage,51440,95,45,Critical
Regional service degradation,27789,94,46,High
Backup delay detected,1081,37,1,Low
High error rate detected,23675,78,37,High
Cache miss increase,2199,72,14,Medium
Regional service degradation,8522,91,55,High
Memory usage elevated,1703,72,8,Low
Disk usage warning,608,49,4,Low
Production database down,83561,88,84,Critical
Cache miss increase,4086,74,9,Medium
Payment gateway unavailable,39247,99,91,Critical
Authentication service outage,95423,92,69,Critical
Intermittent connection issues,1668,56,6,Medium
Elevated latency observed,6186,55,15,Medium
Regional service degradation,3357,91,30,High
Backup delay detected,1212,51,1,Low
Memory usage elevated,296,38,7,Low
Elevated latency observed,7310,56,7,Medium
Memory usage elevated,1442,58,1,Low
Login API timeout,23214,84,36,High
Backup delay detected,18,72,1,Low
Backup delay detected,397,57,0,Low
Login API timeout,25474,90,33,High
Intermittent connection issues,5986,64,14,Medium
Production database down,33112,88,48,Critical
Monitoring alert review,0,38,0,Informational
SSL expires in 10 days,0,41,0,Informational
Core API crash,77411,99,66,Critical
Memory usage elevated,1919,40,3,Low
Disk usage warning,609,64,8,Low
Login API timeout,12483,89,55,High
Production database down,54461,94,71,Critical
Elevated latency observed,1640,83,5,Medium
Cache miss increase,4811,67,28,Medium
Disk usage warning,1197,64,2,Low
SSL expires in 10 days,0,13,0,Informational
Routine maintenance notice,0,47,0,Informational
Capacity report generated,0,17,0,Informational
Login API timeout,19976,90,36,High
Elevated latency observed,5784,66,22,Medium
Elevated latency observed,3683,72,20,Medium
Core API crash,72995,95,83,Critical
SSL expires in 10 days,0,38,0,Informational
Intermittent connection issues,8801,71,17,Medium
Disk usage warning,127,63,7,Low
Payment gateway unavailable,12493,89,67,Critical
Authentication service outage,39260,89,82,Critical
Search response degraded,7467,71,24,Medium
Elevated latency observed,9863,58,10,Medium
Production database down,38663,96,81,Critical
Payment gateway unavailable,52007,95,71,Critical
Disk usage warning,1691,61,2,Low
High error rate detected,21467,81,54,High
Message queue backlog,22511,84,29,High
Message queue backlog,12113,94,51,High
CPU threshold warning,957,65,7,Low
Cache miss increase,2499,76,26,Medium
Core API crash,91092,94,83,Critical
Backup delay detected,1138,55,8,Low
Payment gateway unavailable,63191,94,54,Critical
CPU threshold warning,1349,61,2,Low
High error rate detected,18861,93,57,High
Memory usage elevated,968,57,9,Low
Memory usage elevated,1465,69,4,Low
Intermittent connection issues,3013,80,25,Medium
Message queue backlog,22001,82,54,High
Cache miss increase,1986,68,5,Medium
Backup delay detected,449,70,0,Low
Elevated latency observed,6030,60,18,Medium
High error rate detected,19307,84,36,High
Cache miss increase,8807,78,6,Medium
Elevated latency observed,2149,60,9,Medium
CPU threshold warning,1339,43,6,Low
SSL expires in 10 days,0,40,0,Informational
Login API timeout,20168,75,44,High
Backup delay detected,858,55,9,Low
Elevated latency observed,7998,71,17,Medium
CPU threshold warning,791,61,0,Low
Cache miss increase,5705,66,7,Medium
Disk usage warning,1707,54,8,Low
Search response degraded,4395,79,26,Medium
SSL expires in 10 days,0,7,0,Informational
Payment gateway unavailable,14883,96,65,Critical
Memory usage elevated,187,39,6,Low
Regional service degradation,3889,79,43,High
CPU threshold warning,566,66,3,Low
Intermittent connection issues,9327,66,26,Medium
Intermittent connection issues,9652,62,19,Medium
Core API crash,53844,91,89,Critical
Disk usage warning,1905,67,5,Low
SSL expires in 10 days,0,39,0,Informational
Capacity report generated,0,49,0,Informational
Cache miss increase,6466,76,11,Medium
Routine maintenance notice,0,31,0,Informational
Message queue backlog,14373,79,27,High
Elevated latency observed,1237,69,29,Medium
Memory usage elevated,1981,65,1,Low
Search response degraded,9346,72,22,Medium
Production database down,89487,88,50,Critical
Message queue backlog,22757,91,48,High
Disk usage warning,10,74,2,Low
Intermittent connection issues,4303,68,6,Medium
Memory usage elevated,1782,58,9,Low
Disk usage warning,405,58,5,Low
Routine maintenance notice,0,7,0,Informational
Login API timeout,10147,75,44,High
SSL expires in 10 days,0,26,0,Informational
Elevated latency observed,6578,63,26,Medium
Login API timeout,19908,93,57,High
Monitoring alert review,0,22,0,Informational
Core API crash,93196,93,90,Critical
Production database down,17320,88,50,Critical
Disk usage warning,605,64,2,Low
CPU threshold warning,487,67,9,Low
Search response degraded,4514,77,28,Medium
High error rate detected,6103,78,37,High
Backup delay detected,1016,55,9,Low
Monitoring alert review,0,6,0,Informational
High error rate detected,17948,91,58,High
High error rate detected,12910,81,29,High
Capacity report generated,0,11,0,Informational
Elevated latency observed,718,78,20,Medium
Intermittent connection issues,5873,74,7,Medium
Payment gateway unavailable,18301,94,85,Critical
Backup delay detected,256,35,3,Low
Intermittent connection issues,1437,58,25,Medium
Cache miss increase,6869,80,21,Medium
Monitoring alert review,0,38,0,Informational
Core API crash,23956,85,64,Critical
Production database down,45265,86,93,Critical
Message queue backlog,22027,82,30,High
Authentication service outage,18856,85,45,Critical
Regional service degradation,28934,75,44,High
High error rate detected,4896,77,58,High
Message queue backlog,10302,80,53,High
Cache miss increase,2653,78,21,Medium
Search response degraded,6024,79,7,Medium
Monitoring alert review,0,31,0,Informational
Core API crash,60317,86,59,Critical
Capacity report generated,0,11,0,Informational
Cache miss increase,7763,77,10,Medium
Intermittent connection issues,7826,55,22,Medium
Intermittent connection issues,4940,84,18,Medium
Monitoring alert review,0,34,0,Informational
CPU threshold warning,1621,70,3,Low
Search response degraded,7023,62,15,Medium
Search response degraded,2023,57,20,Medium
Memory usage elevated,1712,35,0,Low
Capacity report generated,0,8,0,Informational
Disk usage warning,1178,65,4,Low
Monitoring alert review,0,25,0,Informational
Payment gateway unavailable,56853,99,69,Critical
Disk usage warning,716,58,0,Low
Cache miss increase,6224,70,18,Medium
Routine maintenance notice,0,17,0,Informational
Elevated latency observed,9768,75,12,Medium
Cache miss increase,9945,70,8,Medium
Intermittent connection issues,4018,81,6,Medium
Disk usage warning,397,64,8,Low
Cache miss increase,1873,59,11,Medium
Routine maintenance notice,0,21,0,Informational
High error rate detected,9721,77,43,High
Login API timeout,28253,77,21,High
Message queue backlog,14581,89,28,High
Memory usage elevated,1833,71,6,Low
Capacity report generated,0,41,0,Informational
High error rate detected,5110,84,45,High
Monitoring alert review,0,42,0,Informational
Memory usage elevated,221,72,7,Low
CPU threshold warning,1867,56,7,Low
Core API crash,64828,94,62,Critical
Intermittent connection issues,6513,61,27,Medium
Disk usage warning,44,67,1,Low
Search response degraded,7004,75,20,Medium
Elevated latency observed,4586,73,24,Medium
Production database down,63554,96,84,Critical
Login API timeout,8460,77,46,High
Regional service degradation,16182,89,56,High
Core API crash,91824,90,50,Critical
Search response degraded,1756,56,22,Medium
Routine maintenance notice,0,18,0,Informational
SSL expires in 10 days,0,37,0,Informational
SSL expires in 10 days,0,35,0,Informational
Backup delay detected,1887,70,7,Low
Capacity report generated,0,17,0,Informational
Message queue backlog,20281,88,30,High
Elevated latency observed,8628,84,20,Medium
Capacity report generated,0,20,0,Informational
High error rate detected,8770,89,59,High
Cache miss increase,9240,55,13,Medium
Message queue backlog,23812,76,44,High
Intermittent connection issues,4682,76,16,Medium
SSL expires in 10 days,0,11,0,Informational
Payment gateway unavailable,10535,98,67,Critical
Disk usage warning,1341,59,9,Low
Memory usage elevated,1018,58,5,Low
SSL expires in 10 days,0,5,0,Informational
Search response degraded,4406,68,28,Medium
High error rate detected,3689,75,45,High
Disk usage warning,638,57,5,Low
CPU threshold warning,706,51,4,Low
Regional service degradation,23817,82,35,High
Memory usage elevated,853,36,1,Low
Disk usage warning,834,44,1,Low
Monitoring alert review,0,45,0,Informational
CPU threshold warning,1152,45,6,Low
Search response degraded,2998,68,19,Medium
Memory usage elevated,990,53,8,Low
Intermittent connection issues,4076,71,15,Medium
Disk usage warning,54,73,3,Low
CPU threshold warning,1109,60,3,Low
Memory usage elevated,1802,50,5,Low
Backup delay detected,396,71,4,Low
High error rate detected,29805,77,28,High
SSL expires in 10 days,0,23,0,Informational
Cache miss increase,5476,59,11,Medium
High error rate detected,13152,84,49,High
Backup delay detected,1995,53,0,Low
Disk usage warning,389,48,5,Low
Login API timeout,28274,90,40,High
Cache miss increase,3420,64,16,Medium
Core API crash,71577,90,71,Critical
Core API crash,19214,93,56,Critical
Elevated latency observed,2615,57,8,Medium
Authentication service outage,37459,95,74,Critical
Memory usage elevated,565,68,4,Low
CPU threshold warning,720,53,9,Low
Backup delay detected,1156,70,4,Low
Search response degraded,3271,61,6,Medium
Monitoring alert review,0,45,0,Informational
Routine maintenance notice,0,23,0,Informational
Monitoring alert review,0,36,0,Informational
Elevated latency observed,9226,74,29,Medium
Elevated latency observed,7906,75,24,Medium
Memory usage elevated,845,54,1,Low
SSL expires in 10 days,0,8,0,Informational
High error rate detected,13119,83,35,High
Regional service degradation,5108,80,55,High
Intermittent connection issues,9713,56,26,Medium
Search response degraded,4188,71,11,Medium
Monitoring alert review,0,32,0,Informational
Monitoring alert review,0,49,0,Informational
High error rate detected,27970,77,51,High
Search response degraded,9513,61,19,Medium
Search response degraded,2019,74,23,Medium
Memory usage elevated,413,50,3,Low
Core API crash,60153,95,73,Critical
Routine maintenance notice,0,6,0,Informational
Core API crash,12841,88,91,Critical
Cache miss increase,2836,64,5,Medium
Core API crash,74814,89,66,Critical
CPU threshold warning,530,40,4,Low
Backup delay detected,424,43,2,Low
Message queue backlog,22218,92,43,High
Cache miss increase,5889,56,9,Medium
Disk usage warning,1510,70,1,Low
Routine maintenance notice,0,22,0,Informational
Elevated latency observed,5546,63,24,Medium
Message queue backlog,10155,86,57,High
Capacity report generated,0,41,0,Informational
Login API timeout,19064,78,37,High
Core API crash,16799,89,87,Critical
Core API crash,34425,98,48,Critical
Cache miss increase,7720,73,11,Medium
Disk usage warning,349,52,3,Low
Regional service degradation,15267,80,59,High
CPU threshold warning,411,60,9,Low
Backup delay detected,908,38,9,Low
CPU threshold warning,1458,63,2,Low
Login API timeout,26371,76,47,High
Memory usage elevated,1531,68,9,Low
Cache miss increase,3826,72,10,Medium
Core API crash,53461,97,67,Critical
Core API crash,64317,87,59,Critical
Search response degraded,5345,60,12,Medium
Disk usage warning,1019,45,4,Low
Intermittent connection issues,725,69,24,Medium
Monitoring alert review,0,10,0,Informational
Message queue backlog,25866,90,48,High
Intermittent connection issues,6670,57,27,Medium
High error rate detected,21350,80,52,High
Authentication service outage,94106,89,92,Critical
CPU threshold warning,1031,43,6,Low
Backup delay detected,308,59,2,Low
Production database down,43341,92,80,Critical
Routine maintenance notice,0,21,0,Informational
Backup delay detected,1189,73,4,Low
Disk usage warning,301,48,0,Low
Intermittent connection issues,9708,71,28,Medium
Backup delay detected,1157,73,6,Low
Intermittent connection issues,3239,76,5,Medium
Payment gateway unavailable,97495,97,80,Critical
Disk usage warning,1688,44,6,Low
Disk usage warning,1580,67,1,Low
Login API timeout,18011,89,23,High
Disk usage warning,1664,45,8,Low
Cache miss increase,2425,69,28,Medium
SSL expires in 10 days,0,19,0,Informational
Monitoring alert review,0,44,0,Informational
Intermittent connection issues,3950,63,28,Medium
Backup delay detected,1235,64,9,Low
SSL expires in 10 days,0,8,0,Informational
Elevated latency observed,9009,55,7,Medium
Payment gateway unavailable,87315,97,82,Critical
High error rate detected,7889,80,53,High
High error rate detected,6887,93,56,High
CPU threshold warning,807,74,6,Low
Intermittent connection issues,3107,77,29,Medium
Elevated latency observed,6556,68,15,Medium
Search response degraded,3233,57,15,Medium
Disk usage warning,1624,51,8,Low
Payment gateway unavailable,58141,97,60,Critical
Backup delay detected,1763,57,7,Low
Intermittent connection issues,7522,81,7,Medium
Login API timeout,9090,93,35,High
Search response degraded,4279,76,20,Medium
Message queue backlog,17079,91,30,High
Search response degraded,5334,70,8,Medium
Intermittent connection issues,7726,68,11,Medium
Backup delay detected,461,59,7,Low
High error rate detected,28682,86,26,High
Monitoring alert review,0,15,0,Informational
CPU threshold warning,610,63,0,Low
Core API crash,23255,98,62,Critical
CPU threshold warning,957,74,6,Low
Core API crash,70879,92,83,Critical
High error rate detected,24381,95,30,High
Cache miss increase,8155,60,22,Medium
Elevated latency observed,4011,64,19,Medium
Cache miss increase,9728,61,25,Medium
Payment gateway unavailable,47114,87,72,Critical
Backup delay detected,354,74,8,Low
CPU threshold warning,134,62,0,Low
Disk usage warning,1511,36,3,Low
Regional service degradation,8935,78,35,High
Disk usage warning,375,37,7,Low
Regional service degradation,24858,90,56,High
Message queue backlog,27778,78,48,High
SSL expires in 10 days,0,20,0,Informational
Monitoring alert review,0,26,0,Informational
High error rate detected,29907,79,57,High
Regional service degradation,15317,90,59,High
Elevated latency observed,5222,62,9,Medium
Cache miss increase,5232,73,22,Medium
Intermittent connection issues,6532,56,7,Medium
CPU threshold warning,6,45,6,Low
Capacity report generated,0,39,0,Informational
High error rate detected,25794,93,23,High
Core API crash,84035,98,50,Critical
Cache miss increase,9398,80,10,Medium
Memory usage elevated,1168,38,4,Low
Cache miss increase,4397,80,25,Medium
Disk usage warning,746,38,6,Low
Cache miss increase,7608,74,6,Medium
Cache miss increase,3690,77,19,Medium
High error rate detected,17355,93,59,High
Payment gateway unavailable,55310,91,47,Critical
CPU threshold warning,481,50,9,Low
Cache miss increase,9603,63,5,Medium
SSL expires in 10 days,0,16,0,Informational
High error rate detected,26871,92,32,High
CPU threshold warning,1473,62,4,Low
Authentication service outage,93011,98,75,Critical
SSL expires in 10 days,0,39,0,Informational
Disk usage warning,1179,35,0,Low
SSL expires in 10 days,0,42,0,Informational
CPU threshold warning,1756,59,1,Low
High error rate detected,7242,83,45,High
Intermittent connection issues,1475,62,19,Medium
Search response degraded,5159,62,11,Medium
Message queue backlog,15171,93,29,High
Search response degraded,4131,78,28,Medium
High error rate detected,10733,77,51,High
High error rate detected,15967,84,50,High
Payment gateway unavailable,96091,91,65,Critical
Memory usage elevated,1841,58,8,Low
Login API timeout,17990,93,36,High
Cache miss increase,7906,75,13,Medium
Cache miss increase,6275,60,11,Medium
Backup delay detected,297,63,6,Low
Login API timeout,23942,79,27,High
CPU threshold warning,1162,49,4,Low
Memory usage elevated,1693,48,1,Low
CPU threshold warning,820,64,6,Low
Capacity report generated,0,34,0,Informational
Message queue backlog,14235,80,41,High
Login API timeout,20377,89,48,High
Backup delay detected,239,49,7,Low
Intermittent connection issues,2506,80,18,Medium
Elevated latency observed,4839,65,26,Medium
High error rate detected,13993,92,30,High
Core API crash,40516,89,79,Critical
Cache miss increase,4478,71,16,Medium
Intermittent connection issues,1660,76,19,Medium
CPU threshold warning,1578,64,2,Low
Search response degraded,5745,82,25,Medium
Message queue backlog,6570,83,57,High
Regional service degradation,29705,84,43,High
Intermittent connection issues,2294,83,26,Medium
Regional service degradation,13834,89,21,High
Payment gateway unavailable,75662,90,51,Critical
CPU threshold warning,1446,40,4,Low
CPU threshold warning,482,45,8,Low
Login API timeout,18946,88,53,High
Disk usage warning,102,42,3,Low
Capacity report generated,0,43,0,Informational
Disk usage warning,217,68,4,Low
Capacity report generated,0,9,0,Informational
CPU threshold warning,835,60,7,Low
Authentication service outage,10928,91,56,Critical
Monitoring alert review,0,35,0,Informational
Disk usage warning,1995,69,3,Low
SSL expires in 10 days,0,9,0,Informational
Message queue backlog,15908,78,58,High
Memory usage elevated,225,63,9,Low
Memory usage elevated,1473,73,5,Low
Elevated latency observed,1544,68,20,Medium
High error rate detected,18928,77,41,High
Disk usage warning,1653,50,4,Low
Elevated latency observed,1069,72,12,Medium
Authentication service outage,22758,93,63,Critical
Intermittent connection issues,9390,62,7,Medium
Login API timeout,23273,89,20,High
CPU threshold warning,1495,63,6,Low
Regional service degradation,5796,83,59,High
Routine maintenance notice,0,37,0,Informational
Login API timeout,14634,88,48,High
Authentication service outage,96160,87,92,Critical
Login API timeout,8320,76,34,High
Cache miss increase,4686,60,22,Medium
Intermittent connection issues,2250,78,11,Medium
Search response degraded,5433,68,28,Medium
Authentication service outage,82391,88,57,Critical
Disk usage warning,516,38,3,Low
Search response degraded,7632,65,9,Medium
Search response degraded,5521,67,21,Medium
Payment gateway unavailable,18525,89,79,Critical
Search response degraded,2073,59,11,Medium
Backup delay detected,1906,45,7,Low
Backup delay detected,1216,56,3,Low
Capacity report generated,0,8,0,Informational
CPU threshold warning,516,65,6,Low
Routine maintenance notice,0,42,0,Informational
SSL expires in 10 days,0,42,0,Informational
Cache miss increase,4233,77,17,Medium
Message queue backlog,15909,92,25,High
Monitoring alert review,0,38,0,Informational
Payment gateway unavailable,69396,98,81,Critical
Routine maintenance notice,0,19,0,Informational
Disk usage warning,552,38,8,Low
SSL expires in 10 days,0,8,0,Informational
Regional service degradation,5775,78,35,High
Authentication service outage,80454,86,63,Critical
Cache miss increase,7554,67,22,Medium
Search response degraded,7936,64,21,Medium
Message queue backlog,3789,85,50,High
Regional service degradation,6040,87,36,High
Monitoring alert review,0,37,0,Informational
Disk usage warning,539,53,8,Low
Cache miss increase,9804,56,19,Medium
Backup delay detected,1830,45,9,Low
Production database down,30921,98,73,Critical
Production database down,38578,91,50,Critical
Intermittent connection issues,6174,76,9,Medium
Cache miss increase,4268,76,29,Medium
Authentication service outage,85662,95,94,Critical
Intermittent connection issues,6965,56,8,Medium
Search response degraded,2224,60,19,Medium
Routine maintenance notice,0,6,0,Informational
Elevated latency observed,7373,83,15,Medium
Intermittent connection issues,4803,62,19,Medium
Authentication service outage,59212,94,68,Critical
Login API timeout,17438,93,38,High
CPU threshold warning,1127,73,4,Low
Memory usage elevated,714,55,4,Low
Search response degraded,5115,64,25,Medium
CPU threshold warning,84,50,4,Low
Login API timeout,22692,93,59,High
Memory usage elevated,759,48,0,Low
Elevated latency observed,5490,84,27,Medium
Intermittent connection issues,9852,67,14,Medium
Payment gateway unavailable,66576,89,52,Critical
Login API timeout,3470,94,41,High
High error rate detected,29845,86,53,High
Disk usage warning,707,53,0,Low
Memory usage elevated,44,45,4,Low
Payment gateway unavailable,60374,90,70,Critical
Intermittent connection issues,7288,60,10,Medium
Message queue backlog,14236,76,48,High
Payment gateway unavailable,89730,91,53,Critical
High error rate detected,19172,95,31,High
Cache miss increase,1080,59,16,Medium
Search response degraded,2113,63,14,Medium
Disk usage warning,1527,74,3,Low
Monitoring alert review,0,10,0,Informational
Routine maintenance notice,0,49,0,Informational
Intermittent connection issues,1071,82,28,Medium
Elevated latency observed,2132,81,27,Medium
Intermittent connection issues,5244,77,19,Medium
Routine maintenance notice,0,27,0,Informational
Routine maintenance notice,0,12,0,Informational
CPU threshold warning,1051,68,3,Low
Regional service degradation,4888,79,30,High
CPU threshold warning,556,45,7,Low
Capacity report generated,0,36,0,Informational
Backup delay detected,1146,69,9,Low
Disk usage warning,645,67,7,Low
Disk usage warning,1502,39,3,Low
Cache miss increase,8863,55,29,Medium
Elevated latency observed,5123,55,13,Medium
Backup delay detected,77,51,9,Low
Cache miss increase,3074,79,5,Medium
Search response degraded,6068,83,22,Medium
Intermittent connection issues,5399,59,12,Medium
High error rate detected,9777,77,34,High
Disk usage warning,236,47,6,Low
Production database down,13877,91,55,Critical
Intermittent connection issues,2303,69,27,Medium
Elevated latency observed,4949,67,29,Medium
High error rate detected,19707,76,49,High
High error rate detected,4552,88,51,High
High error rate detected,11674,77,36,High
Production database down,86628,99,87,Critical
Capacity report generated,0,13,0,Informational
Routine maintenance notice,0,34,0,Informational
Disk usage warning,1444,55,7,Low
Search response degraded,6047,82,19,Medium
Authentication service outage,10879,91,65,Critical
Cache miss increase,7218,56,23,Medium
Backup delay detected,568,59,6,Low
Regional service degradation,25074,94,36,High
Capacity report generated,0,10,0,Informational
Backup delay detected,858,53,1,Low
Cache miss increase,2512,56,12,Medium
Intermittent connection issues,3961,65,14,Medium
Intermittent connection issues,661,58,14,Medium
Elevated latency observed,6130,62,17,Medium
Message queue backlog,18873,81,21,High
Elevated latency observed,6391,57,20,Medium
Message queue backlog,12158,75,38,High
Search response degraded,7011,65,23,Medium
Production database down,77074,99,88,Critical
Routine maintenance notice,0,7,0,Informational
Capacity report generated,0,12,0,Informational
Search response degraded,4125,78,12,Medium
Message queue backlog,7574,84,46,High
Backup delay detected,1227,42,5,Low
Login API timeout,18830,83,46,High
Authentication service outage,98897,87,71,Critical
Memory usage elevated,1139,40,6,Low
Disk usage warning,1598,43,1,Low
High error rate detected,8928,76,58,High
Elevated latency observed,3503,77,10,Medium
